ticks
F
AAPL
SNDL
T
AMD
LCID
NIO
BAC
AMC
NVDA
AVCT
PFE
CCL
ZNGA
ITUB
PLTR
BBD
AAL
INTC
SOFI
SEAC
MSFT
EDU
SWN
UBER
WFC
VALE
TSLA
TLRY
PBR
C
GRTX
FCEL
BABA
VZ
XOM
CMCSA
WISH
NOK
CSCO
NCLH
NLY
MU
DIDI
ET
GM
HOOD
KO
FB
GRAB
NKLA
PTON
KGC
BBIG
DKNG
ABEV
MRO
GOLD
ADGI
PETZ
PLUG
SNAP
RBLX
CLF
SIRI
PTPI
XELA
M
KMI
FCX
AUY
X
VIAC
OXY
RIVN
OCGN
GNPX
TWTR
PHUN
SPCE
PROG
BMY
RIG
DAL
MRK
TAL
TME
JPM
JD
BP
CLOV
ORCL
TSM
SKLZ
UAL
PYPL
BEKE
LUMN
DVN
PCG
MARA
TELL
OPEN
CVX
SLB
CSX
ARDX
DNA
RIOT
VTRS
HBAN
INOV
CHPT
DIS
MRVL
PINS
HPE
IQ
LUV
SQ
MO
ALLK
MRNA
TEVA
WMT
PSFE
HPQ
BA
AFRM
XPEV
WU
HAL
APA
BB
ESGC
FUBO
QCOM
WMB
CVE
VIPS
SAN
RF
DISCA
KOS
PG
AA
LU
MS
MDT
QS
BNGO
RLX
V
KEY
CERN
KR
LVS
PDD
HEXO
CPNG
PIXY
TXMD
CPG
BBBY
NEE
HIVE
GGB
BSX
GEVO
SDC
SABR
MMAT
TCOM
GPS
COP
BBIO
SOS
CIG
MDLZ
LYG
EAR
BKKT
AMRS
JBLU
JNJ
ABBV
EPD
IBN
NEM
HUT
BILI
GILD
EBAY
HST
CGC
SBUX
MTTR
BKR
CP
AGNC
CDEV
STNE
INFY
HL
SE
EXC
XXII
ALZN
ROKU
BITF
UMC
AMAT
GOTU
MQ
NVAX
SCHW
CX
KHC
SPPI
HBI
IAG
COTY
BLU
MPC
CRM
OGI
CVS
ON
VOD
SU
ABEO
MTCR
AR
NAKD
NYCB
RIDE
RUN
WKHS
NNDM
FTI
JAGX
FUTU
WBA
USB
NKE
GNUS
OPK
EQT
IVR
FSR
SRNE
EVFM
KDP
ABT
LAZR
IBM
ATUS
ENDP
ENB
GFI
DOCU
TJX
KXIN
NUAN
LYFT
UPST
ERIC
ABNB
GE
PM
TMUS
CCJ
VICI
MGM
FTK
FTCH
DOW
UAA
NXTD
SYF
FTFT
EVGO
HIMX
TFC
CNP
CNHI
CHWY
JWN
XERS
HMY
NRZ
DMYQ
DWAC
PATH
MVIS
FHN
ASTR
QLGN
INO
AEO
ACB
AIG
TXN
PEP
RTX
TWO
S
NVTA
JMIA
BZ
RKT
VG
FITB
CL
FSM
SAVE
MRIN
ABUS
BCS
IONQ
CNC
CSLT
SO
AGEN
BTU
BYND
CDE
KSS
BHG
CAG
RCL
RRC
PPL
ASX
BX
BCRX
OTLY
AES
ORC
APO
ING
PENN
AZN
BLDP
BXRX
CIA
CFG
DISCK
MOS
COIN
MPW
MET
QRTEA
TIGR
ZI
MA
VST
BK
DDOG
CRWD
AVTR
ADBE
TDOC
DBRG
PBCT
EOG
MARK
TTD
AG
ZM
DELL
U
FIS
GLW
BHC
HD
O
ROOT
DOGZ
TGT
NI
ANY
IVZ
JNPR
ZIM
CLVS
VYNE
ASAN
Z
GIS
MNMD
LAC
COMM
WTRH
MPLN
ETRN
XP
SFIX
ETWO
XL
SESN
PAA
PSX
LOW
SFT
BFLY
MCHP
WDC
ELAN
FIGS
RIO
CLVT
AKBA
CHGG
ARCC
KIM
DNMR
ADI
IRT
DASH
FISV
NYMT
INVH
NLSN
STEM
MTG
MFA
CLNE
WY
FOXA
CAN
COMP
GT
PACB
APPS
BARK
NKTR
SPWR
GOEV
VLO
CARR
RMTI
NLOK
AUPH
VRM
VXRT
GGPI
AMRN
NOV
TECK
EXPR
AMWL
ATER
GME
CONE
VEON
AM
CAH
UNH
LLY
SNOW
DCRC
BHP
BIDU
BBY
STWD
BBWI
NUE
PSTG
RMO
AFL
IPG
MLCO
TPR
DBX
AGI
XSPA
ME
FLEX
FE
HON
TOST
MIME
AEG
REAL
NEX
NFLX
ASO
ADTX
NTES
ADMP
CRK
PGR
CPB
CVNA
PYR
DB
XEL
CAT
FOLD
STLA
GNW
ZTO
XLNX
RKLB
D
BLDR
PTRA
GRTS
NWL
AMZN
LEG
KSU
ARRY
LEN
PBF
MFC
ARVL
MNDT
CNQ
PLD
RAD
ATOS
AU
PEAK
DHR
KKR
JOBY
GOCO
DISH
AVGO
CFLT
FAST
PTEN
SM
CF
DUK
SBSW
JCI
NAT
VLDR
VBIV
NVS
NOVA
OUST
NWSA
MBT
TAK
OVV
PSTI
HYZN
COST
WYNN
EMR
AMGN
BE
GS
ONEM
BNTX
ISBC
CTSH
SYY
VOYA
ZS
OWL
OHI
EQNR
CNX
HYLN
PRTY
EBON
GSKY
BTBT
LC
BBL
MILE
HUYA
AEP
MAT
NTR
BKD
ACN
UWMC
UL
ERF
COF
CRON
ALIT
HOG
ARDS
DLTR
BRX
MCD
DOCN
IMGN
AQN
GPN
MP
PRPL
UP
EQH
CUK
HTA
ZH
ALLY
BEN
ZIOP
ACHR
PAGS
HWM
ED
FSLY
SHO
LTHM
BLUE
ENPH
CNK
VUZI
CORT
FNB
HSBC
XRX
DD
ERJ
EDR
BRFS
CTVA
OCFT
CUBE
INCY
VFC
TRIP
FDX
KPTI
MNKD
